Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	901	Item_Background_Breakable_Wood_230	10694			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_257	background_breakable_wood_257							yes
background_breakable_wood_280	background_breakable_wood_280	863	Item_Background_Breakable_Wood_280	10656			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	868	Item_Background_Breakable_Wood_281	10661			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	873	Item_Background_Breakable_Wood_285	10666			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	876	Item_Background_Breakable_Wood_290	10669			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	877	Item_Background_Breakable_Wood_293	10670			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_294	background_breakable_wood_294							yes
background_breakable_wood_295	background_breakable_wood_295	878	Item_Background_Breakable_Wood_295	10671			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	886	Item_Background_Breakable_Wood_297	10679			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_302	background_breakable_wood_302							yes
background_breakable_wood_303	background_breakable_wood_303							yes
background_breakable_wood_304	background_breakable_wood_304	903	Item_Background_Breakable_Wood_304	10696			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	902	Item_Background_Breakable_Wood_308	10695			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	904	Item_Background_Breakable_Wood_309	10697			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_310	background_breakable_wood_310							yes
background_breakable_wood_311	background_breakable_wood_311							yes
background_breakable_wood_313	background_breakable_wood_313							yes
background_breakable_wood_320	background_breakable_wood_320							yes
background_breakable_wood_323	background_breakable_wood_323							yes
background_breakable_wood_323_index01	background_breakable_wood_323_index01							yes
background_breakable_wood_363	background_breakable_wood_363	905	Item_Background_Breakable_Wood_363	10698			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1185	Cacao	11113			ItemIcon_prefab_Cacao_01	no
cd_0_2d716fc0a1b5d518	cd_0_2d716fc0a1b5d518							yes
cd_0_b87343c91a4d7f59	cd_0_b87343c91a4d7f59							yes
cd_0_edfc1118c6e43de0	cd_0_edfc1118c6e43de0							yes
cd_6642550b6e99cb02	cd_6642							yes
cd_abyss_gauntlet_01	cd_abyss_gauntlet_01							yes
cd_abyss_gauntlet_wire_r	cd_abyss_gauntlet_wire_r							yes
cd_abyss_glider	cd_abyss_glider							yes
cd_abyss_glider_01	cd_abyss_glider_01							yes
cd_abyss_glider_02	cd_abyss_glider_02							yes
cd_abyss_wing	cd_abyss_wing							yes
cd_abyss_wing_01	cd_abyss_wing_01							yes
cd_abyss_wing_02	cd_abyss_wing_02							yes
cd_abyss_wing_03	cd_abyss_wing_03							yes
cd_abyss_wingsuit	cd_abyss_wingsuit							yes
cd_abyss_wingsuit_01	cd_abyss_wingsuit_01							yes
cd_abyss_wingsuit_02	cd_abyss_wingsuit_02							yes
cd_abysscontroller	cd_abysscontroller							yes
cd_abyssgauntlet	cd_abyssgauntlet							yes
cd_acidspider	cd_acidspider							yes
cd_additional_for_dock	cd_additional_for_dock							yes
cd_airplane	cd_airplane							yes
cd_airship	cd_airship							yes
cd_armor_halterbind	cd_armor_halterbind							yes
cd_attach_01	cd_attach_01							yes
cd_attach_02	cd_attach_02							yes
cd_attach_03	cd_attach_03							yes
cd_bag_acc	cd_bag_acc							yes
cd_bag_belt	cd_bag_belt							yes
cd_bag_belt_for_dock	cd_bag_belt_for_dock							yes
cd_bag_for_dock	cd_bag_for_dock							yes
cd_bag_lantern	cd_bag_lantern							yes
cd_bag_rack	cd_bag_rack							yes
cd_bag_rocket	cd_bag_rocket							yes
cd_bag_small	cd_bag_small							yes
cd_beard_long	cd_beard_long							yes
cd_body_01	cd_body_01							yes
cd_body_02	cd_body_02							yes
cd_boss_reward_automatedincome	cd_boss_reward_automatedincome	3213	Boss_Reward_AutomatedIncome	12372			itemicon_cd_boss_reward_automatedincome	no
cd_boss_reward_bigmoney	cd_boss_reward_bigmoney	3201	Boss_Reward_BigMoney	12359			itemicon_cd_boss_reward_bigmoney	no
cd_boss_reward_catfishmap	cd_boss_reward_catfishmap	3209	Boss_Reward_CatFishMap	12368			itemicon_cd_boss_reward_catfishmap	no
cd_boss_reward_graymanes	cd_boss_reward_graymanes	3199	Boss_Reward_Graymanes	12357			itemicon_cd_boss_reward_graymanes	no
cd_boss_reward_knowledgeoverview	cd_boss_reward_knowledgeoverview	3216	Boss_Reward_KnowledgeOverview	12375			itemicon_cd_boss_reward_knowledgeoverview	no
cd_boss_reward_kweidencontribution	cd_boss_reward_kweidencontribution	3210	Boss_Reward_KweidenContribution	12369			itemicon_cd_boss_reward_kweidencontribution	no
cd_boss_reward_kweidennode	cd_boss_reward_kweidennode	3204	Boss_Reward_KweidenNode	12362			itemicon_cd_boss_reward_kweidennode	no
cd_boss_reward_largestone	cd_boss_reward_largestone	3203	Boss_Reward_LargeStone	12361			itemicon_cd_boss_reward_largestone	no
cd_boss_reward_largewood	cd_boss_reward_largewood	3202	Boss_Reward_LargeWood	12360			itemicon_cd_boss_reward_largewood	no
cd_boss_reward_miraculousrecovery	cd_boss_reward_miraculousrecovery	3212	Boss_Reward_MiraculousRecovery	12371			itemicon_cd_boss_reward_miraculousrecovery	no
cd_boss_reward_quicklearner	cd_boss_reward_quicklearner	3218	Boss_Reward_QuickLearner_Charm	12377			itemicon_cd_boss_reward_quicklearner	no
cd_boss_reward_statscrime	cd_boss_reward_statscrime	3226	Boss_Reward_StatsCrime	12381			itemicon_cd_boss_reward_statscrime	no
cd_boss_reward_statsmp	cd_boss_reward_statsmp	3215	Boss_Reward_StatsMp	12374			itemicon_cd_boss_reward_statsmp	no
cd_boss_reward_statsstamina	cd_boss_reward_statsstamina	3214	Boss_Reward_StatsStamina	12373			itemicon_cd_boss_reward_statsstamina	no
cd_boss_reward_supercarrot	cd_boss_reward_supercarrot	3206	Boss_Reward_Supercarrot	12363			itemicon_cd_boss_reward_supercarrot	no
cd_boss_reward_survivors	cd_boss_reward_survivors	3200	Boss_Reward_Survivors	12358			itemicon_cd_boss_reward_survivors	no
cd_boss_reward_tracker	cd_boss_reward_tracker	3217	Boss_Reward_Tracker	12376			itemicon_cd_boss_reward_tracker	no
cd_boss_reward_treasuremap	cd_boss_reward_treasuremap	3219	Puzzle_Reward_TreasureMap_Her_First	12378	3220,3221,3222,3223,3224	Puzzle_Reward_TreasureMap_Her_Second,Puzzle_Reward_TreasureMap_Kwe,Puzzle_Reward_TreasureMap_Dem_First,Puzzle_Reward_TreasureMap_Dem_Second,Puzzle_Reward_TreasureMap_Del	itemicon_cd_boss_reward_treasuremap	no
cd_boss_seraphim	cd_boss_seraphim							yes
cd_boss_seraphim_eye	cd_boss_seraphim_eye							yes
cd_boss_seraphim_wing	cd_boss_seraphim_wing							yes
