Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	896	Item_Background_Breakable_Wood_230	10578			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_257	background_breakable_wood_257							yes
background_breakable_wood_280	background_breakable_wood_280							yes
background_breakable_wood_281	background_breakable_wood_281	863	Item_Background_Breakable_Wood_281	10545			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	868	Item_Background_Breakable_Wood_285	10550			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	871	Item_Background_Breakable_Wood_290	10553			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	872	Item_Background_Breakable_Wood_293	10554			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_294	background_breakable_wood_294							yes
background_breakable_wood_295	background_breakable_wood_295	873	Item_Background_Breakable_Wood_295	10555			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	881	Item_Background_Breakable_Wood_297	10563			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_302	background_breakable_wood_302							yes
background_breakable_wood_303	background_breakable_wood_303							yes
background_breakable_wood_304	background_breakable_wood_304	898	Item_Background_Breakable_Wood_304	10580			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	897	Item_Background_Breakable_Wood_308	10579			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	899	Item_Background_Breakable_Wood_309	10581			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_310	background_breakable_wood_310							yes
background_breakable_wood_311	background_breakable_wood_311							yes
background_breakable_wood_313	background_breakable_wood_313							yes
background_breakable_wood_320	background_breakable_wood_320							yes
background_breakable_wood_323	background_breakable_wood_323							yes
background_breakable_wood_323_index01	background_breakable_wood_323_index01							yes
background_breakable_wood_363	background_breakable_wood_363	900	Item_Background_Breakable_Wood_363	10582			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cd_additional_for_dock	cd_additional_for_dock							yes
cd_alpha_2026_05_22_02_44_54	cd_alpha_2026							yes
cd_bag_acc	cd_bag_acc							yes
cd_bag_belt	cd_bag_belt							yes
cd_bag_belt_for_dock	cd_bag_belt_for_dock							yes
cd_bag_for_dock	cd_bag_for_dock							yes
cd_bag_lantern	cd_bag_lantern							yes
cd_bag_rack	cd_bag_rack							yes
cd_bag_rocket	cd_bag_rocket							yes
cd_bag_small	cd_bag_small							yes
cd_cert_releasesteam_x64_cd_alpha_2026_05_22_02_44_54	cd_cert_releasesteam_x64_cd_alpha_2026							yes
cd_challengeimag	cd_challengeimag							yes
cd_challengeimage__contents_minigame_armwrest_mission	cd_challengeimage__contents_minigame_armwrest_mission							yes
cd_challengeimage_category_battle	cd_challengeimage_category_battle							yes
cd_challengeimage_category_beacon	cd_challengeimage_category_beacon							yes
cd_challengeimage_category_journey	cd_challengeimage_category_journey							yes
cd_challengeimage_category_mastery	cd_challengeimage_category_mastery							yes
cd_challengeimage_category_minigame	cd_challengeimage_category_minigame							yes
cd_challengeimage_category_standstone	cd_challengeimage_category_standstone							yes
cd_challengeimage_challenge_abyss_0079_goldstar_armor	cd_challengeimage_challenge_abyss_0079							yes
cd_challengeimage_challenge_anamorphic	cd_challengeimage_challenge_anamorphic							yes
cd_challengeimage_challenge_anamorphic_adventurer	cd_challengeimage_challenge_anamorphic_adventurer							yes
cd_challengeimage_challenge_anamorphic_black_dragon	cd_challengeimage_challenge_anamorphic_black_dragon							yes
cd_challengeimage_challenge_anamorphic_black_giant	cd_challengeimage_challenge_anamorphic_black_giant							yes
cd_challengeimage_challenge_anamorphic_black_key	cd_challengeimage_challenge_anamorphic_black_key							yes
cd_challengeimage_challenge_anamorphic_boat	cd_challengeimage_challenge_anamorphic_boat							yes
cd_challengeimage_challenge_anamorphic_camel	cd_challengeimage_challenge_anamorphic_camel							yes
cd_challengeimage_challenge_anamorphic_elephant	cd_challengeimage_challenge_anamorphic_elephant							yes
cd_challengeimage_challenge_anamorphic_goblin	cd_challengeimage_challenge_anamorphic_goblin							yes
cd_challengeimage_challenge_anamorphic_hammer	cd_challengeimage_challenge_anamorphic_hammer							yes
cd_challengeimage_challenge_anamorphic_sealing_stone	cd_challengeimage_challenge_anamorphic_sealing_stone							yes
cd_challengeimage_challenge_anamorphic_shield	cd_challengeimage_challenge_anamorphic_shield							yes
cd_challengeimage_challenge_anamorphic_treant_owl	cd_challengeimage_challenge_anamorphic_treant_owl							yes
cd_challengeimage_challenge_anamorphic_wagon	cd_challengeimage_challenge_anamorphic_wagon							yes
cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_i	cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_i							yes
cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_ii	cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_ii							yes
cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_iii	cd_challengeimage_challenge_challenge_sealedartifact_mastery_specialweapon_iii							yes
