Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	896	Item_Background_Breakable_Wood_230	10607			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_280	background_breakable_wood_280	858	Item_Background_Breakable_Wood_280	10569			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	863	Item_Background_Breakable_Wood_281	10574			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	868	Item_Background_Breakable_Wood_285	10579			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	871	Item_Background_Breakable_Wood_290	10582			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	872	Item_Background_Breakable_Wood_293	10583			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_295	background_breakable_wood_295	873	Item_Background_Breakable_Wood_295	10584			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	881	Item_Background_Breakable_Wood_297	10592			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_304	background_breakable_wood_304	898	Item_Background_Breakable_Wood_304	10609			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	897	Item_Background_Breakable_Wood_308	10608			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	899	Item_Background_Breakable_Wood_309	10610			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_363	background_breakable_wood_363	900	Item_Background_Breakable_Wood_363	10611			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1122	Cacao	10965			ItemIcon_prefab_Cacao_01	no
cd_abyss_gauntlet	cd_abyss_gauntlet							yes
cd_abyss_gauntlet_01	cd_abyss_gauntlet_01							yes
cd_abyss_gauntlet_wire_r	cd_abyss_gauntlet_wire_r							yes
cd_abyss_glider	cd_abyss_glider							yes
cd_abyss_glider_01	cd_abyss_glider_01							yes
cd_abyss_glider_02	cd_abyss_glider_02							yes
cd_abyss_wing	cd_abyss_wing							yes
cd_abyss_wing_01	cd_abyss_wing_01							yes
cd_abyss_wing_02	cd_abyss_wing_02							yes
cd_abyss_wing_03	cd_abyss_wing_03							yes
cd_abyss_wingsuit	cd_abyss_wingsuit							yes
cd_abyss_wingsuit_01	cd_abyss_wingsuit_01							yes
cd_abyss_wingsuit_02	cd_abyss_wingsuit_02							yes
