Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	896	Item_Background_Breakable_Wood_230	10597			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_257	background_breakable_wood_257							yes
background_breakable_wood_280	background_breakable_wood_280	858	Item_Background_Breakable_Wood_280	10559			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	863	Item_Background_Breakable_Wood_281	10564			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	868	Item_Background_Breakable_Wood_285	10569			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	871	Item_Background_Breakable_Wood_290	10572			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	872	Item_Background_Breakable_Wood_293	10573			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_294	background_breakable_wood_294							yes
background_breakable_wood_295	background_breakable_wood_295	873	Item_Background_Breakable_Wood_295	10574			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	881	Item_Background_Breakable_Wood_297	10582			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_302	background_breakable_wood_302							yes
background_breakable_wood_303	background_breakable_wood_303							yes
background_breakable_wood_304	background_breakable_wood_304	898	Item_Background_Breakable_Wood_304	10599			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	897	Item_Background_Breakable_Wood_308	10598			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	899	Item_Background_Breakable_Wood_309	10600			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_310	background_breakable_wood_310							yes
background_breakable_wood_311	background_breakable_wood_311							yes
background_breakable_wood_313	background_breakable_wood_313							yes
background_breakable_wood_320	background_breakable_wood_320							yes
background_breakable_wood_323	background_breakable_wood_323							yes
background_breakable_wood_323_index01	background_breakable_wood_323_index01							yes
background_breakable_wood_363	background_breakable_wood_363	900	Item_Background_Breakable_Wood_363	10601			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1120	Cacao	10955			ItemIcon_prefab_Cacao_01	no
cd_abyss_gauntlet	cd_abyss_gauntlet							yes
cd_abyss_gauntlet_01	cd_abyss_gauntlet_01							yes
cd_abyss_gauntlet_wire_r	cd_abyss_gauntlet_wire_r							yes
cd_abyss_glider_01	cd_abyss_glider_01							yes
cd_abyss_glider_02	cd_abyss_glider_02							yes
cd_abyss_wing_01	cd_abyss_wing_01							yes
cd_abyss_wing_02	cd_abyss_wing_02							yes
cd_abyss_wing_03	cd_abyss_wing_03							yes
cd_abyss_wingsuit	cd_abyss_wingsuit							yes
cd_abyss_wingsuit_01	cd_abyss_wingsuit_01							yes
cd_abyss_wingsuit_02	cd_abyss_wingsuit_02							yes
cd_abysscontroller	cd_abysscontroller							yes
cd_abyssgauntlet	cd_abyssgauntlet							yes
cd_acidspider	cd_acidspider							yes
cd_additio	cd_additio							yes
cd_additional_for_dock	cd_additional_for_dock							yes
cd_airplane	cd_airplane							yes
cd_airship	cd_airship							yes
cd_armor_halterbind	cd_armor_halterbind							yes
cd_bag_acc	cd_bag_acc							yes
cd_bag_belt	cd_bag_belt							yes
cd_bag_belt_for_dock	cd_bag_belt_for_dock							yes
cd_bag_for_dock	cd_bag_for_dock							yes
cd_bag_lant	cd_bag_lant							yes
cd_bag_lantern	cd_bag_lantern							yes
cd_bag_rack	cd_bag_rack							yes
cd_bag_rocket	cd_bag_rocket							yes
cd_bag_small	cd_bag_small							yes
cd_boss_reward_automatedincome	cd_boss_reward_automatedincome	3064	Boss_Reward_AutomatedIncome	12200			itemicon_cd_boss_reward_automatedincome	no
