Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	901	Item_Background_Breakable_Wood_230	10624			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_280	background_breakable_wood_280	863	Item_Background_Breakable_Wood_280	10586			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	868	Item_Background_Breakable_Wood_281	10591			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	873	Item_Background_Breakable_Wood_285	10596			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	876	Item_Background_Breakable_Wood_290	10599			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	877	Item_Background_Breakable_Wood_293	10600			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_295	background_breakable_wood_295	878	Item_Background_Breakable_Wood_295	10601			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	886	Item_Background_Breakable_Wood_297	10609			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_304	background_breakable_wood_304	903	Item_Background_Breakable_Wood_304	10626			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	902	Item_Background_Breakable_Wood_308	10625			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	904	Item_Background_Breakable_Wood_309	10627			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_363	background_breakable_wood_363	905	Item_Background_Breakable_Wood_363	10628			ItemIcon_Prefab_Background_Breakable_Wood_363	no
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1179	Cacao	11037			ItemIcon_prefab_Cacao_01	no
cd_acidspider	cd_acidspider							yes
cd_additional_for_dock	cd_additional_for_dock							yes
cd_airplane	cd_airplane							yes
cd_airship	cd_airship							yes
cd_bag_acc	cd_bag_acc							yes
cd_bag_belt	cd_bag_belt							yes
cd_bag_belt_for_dock	cd_bag_belt_for_dock							yes
cd_bag_lantern	cd_bag_lantern							yes
cd_bag_rack	cd_bag_rack							yes
cd_bag_rocket	cd_bag_rocket							yes
cd_bag_small	cd_bag_small							yes
cd_boss_reward_automatedincome	cd_boss_reward_automatedincome	3206	Boss_Reward_AutomatedIncome	12295			itemicon_cd_boss_reward_automatedincome	no
cd_boss_reward_bigmoney	cd_boss_reward_bigmoney	3194	Boss_Reward_BigMoney	12282			itemicon_cd_boss_reward_bigmoney	no
cd_boss_reward_catfishmap	cd_boss_reward_catfishmap	3202	Boss_Reward_CatFishMap	12291			itemicon_cd_boss_reward_catfishmap	no
cd_boss_reward_graymanes	cd_boss_reward_graymanes	3192	Boss_Reward_Graymanes	12280			itemicon_cd_boss_reward_graymanes	no
cd_boss_reward_knowledgeoverview	cd_boss_reward_knowledgeoverview	3209	Boss_Reward_KnowledgeOverview	12298			itemicon_cd_boss_reward_knowledgeoverview	no
