Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	878	Item_Background_Breakable_Wood_230	10533			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_257	background_breakable_wood_257							yes
background_breakable_wood_280	background_breakable_wood_280	840	Item_Background_Breakable_Wood_280	10495			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	845	Item_Background_Breakable_Wood_281	10500			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285							yes
background_breakable_wood_290	background_breakable_wood_290	853	Item_Background_Breakable_Wood_290	10508			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	854	Item_Background_Breakable_Wood_293	10509			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_294	background_breakable_wood_294							yes
background_breakable_wood_295	background_breakable_wood_295	855	Item_Background_Breakable_Wood_295	10510			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	863	Item_Background_Breakable_Wood_297	10518			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_302	background_breakable_wood_302							yes
background_breakable_wood_303	background_breakable_wood_303							yes
background_breakable_wood_304	background_breakable_wood_304	880	Item_Background_Breakable_Wood_304	10535			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	879	Item_Background_Breakable_Wood_308	10534			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	881	Item_Background_Breakable_Wood_309	10536			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_310	background_breakable_wood_310							yes
background_breakable_wood_311	background_breakable_wood_311							yes
background_breakable_wood_313	background_breakable_wood_313							yes
background_breakable_wood_320	background_breakable_wood_320							yes
background_breakable_wood_323	background_breakable_wood_323							yes
background_breakable_wood_323_index01	background_breakable_wood_323_index01							yes
background_breakable_wood_363	background_breakable_wood_363	882	Item_Background_Breakable_Wood_363	10537			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cd_boss_reward_	cd_boss_reward_							yes
cd_boss_reward_x	cd_boss_reward_x							yes
cd_cert_releasesteam_x64_cd_alpha_2026_05_14_13_57_25	cd_cert_releasesteam_x64_cd_alpha_2026							yes
cd_challengeimag	cd_challengeimag							yes
cd_challengeimage__contents_minigame_armwrest_mission	cd_challengeimage__contents_minigame_armwrest_mission							yes
cd_challengeimage_category_battle	cd_challengeimage_category_battle							yes
cd_challengeimage_category_beacon	cd_challengeimage_category_beacon							yes
cd_challengeimage_category_journey	cd_challengeimage_category_journey							yes
