ItemID	Slot	Variant	PlayerSafe	Name
0x1965	Other	no	yes	Dev_QA_demtodel_walk
0x1966	Other	no	yes	Dev_QA_demtodel_run
0x1969	Other	no	yes	Dev_QA_demtovar_walk
0x196A	Other	no	yes	Dev_QA_demtovar_run
0x1961	Other	no	yes	Dev_QA0
0x1964	Other	no	yes	Dev_QA3
0x1963	Other	no	yes	Dev_QA2
0x1962	Other	no	yes	Dev_QA1
0x1967	Other	no	yes	Dev_QA_hertopail_walk
0x1968	Other	no	yes	Dev_QA_hertopail_run
0x196B	Other	no	yes	Dev_QA_her_loop
0x7B3	Other	no	yes	Memo_ButlerLeftMemo
0x82C	Other	no	yes	Visione_Chip_NamelessHeorGrave
0x86D	Other	no	yes	Visione_Chip_RockShelter
0x7A4	Other	no	yes	Quest_Hunter_Letter
0x7EA	Other	no	yes	Paper_BraveToLove
0x121	Other	no	yes	NoticePaper_Skill_Oongka_RotationBash_II
0x7B9	Other	no	yes	TreasureMap_FalseEvidence_1
0x8AC	Other	no	yes	Visione_Chip_PainterRegret
0x831	Other	no	yes	Visione_Chip_WeirdSkull
0x832	Other	no	yes	Visione_Chip_Sculptor
0x187	Other	no	yes	PororinChildrenForest_Book
0x886	Other	no	yes	Visione_Chip_StoryWell
0x78B	Other	no	yes	Letter_Wolfmolar_Mountain_WifeLetter
0x16A9	TwoHand	no	yes	WarRobot_Foot_01
0x16AA	TwoHand	no	yes	WarRobot_Foot_02
0x16AB	TwoHand	no	yes	WarRobot_Foot_03
0x16AD	Other	no	yes	WarRobot_Cannon_01
0x683	Other	no	yes	Item_ETC_CooltimeReduce_ATAG
0x16AC	Other	no	yes	WarRobot_Fist_01
0x16B1	Other	no	yes	WarRobot_FlameThrower_01
0x16AE	Other	no	yes	WarRobot_Laser_01
0x16B0	Other	no	yes	WarRobot_Gatling_01
0x16AF	Other	no	yes	WarRobot_RepairTool_01_L
0x16A3	Other	no	yes	WarRobot_Body_01
0x16A4	Other	no	yes	WarRobot_Body_02
0x16A5	Other	no	yes	WarRobot_Body_03
0x685	Other	no	yes	Item_ETC_CooltimeReduce_ATAGII
0x16A6	Other	no	yes	WarRobot_Backpack_01
0x16A7	Other	no	yes	WarRobot_Backpack_02
0x16A8	Other	no	yes	WarRobot_Backpack_03
0x16B2	Other	no	yes	WarRobot_RepairTool_01_R
0x9A6	TwoHand	no	yes	Abacus
0x84F	Other	no	yes	Visione_Chip_AnchorForest
0x84A	Other	no	yes	Visione_Chip_DumpBell
0x853	Other	no	yes	Visione_Chip_ForsakenHome
0x830	Other	no	yes	Visione_Chip_AbandonedHouse
0x838	Other	no	yes	Visione_Chip_RuinedHouse
0x88A	Other	no	yes	Visione_Chip_AbandonedMineVillage
0x860	Other	no	yes	Visione_Chip_EmptyRanch
0x169B	Helm	no	yes	Abidon_Fabric_Helm_T5_QA
0x195F	TwoHand	no	no	Tynion_Giant_TwoHandGiantBastard
0x9FC	Other	no	yes	Abyss_Artifact
0x689	Other	no	yes	Item_Abyss_Artifact_Maker
