Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	1011	Item_Background_Breakable_Wood_230	10730			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_280	background_breakable_wood_280	973	Item_Background_Breakable_Wood_280	10692			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	978	Item_Background_Breakable_Wood_281	10697			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	983	Item_Background_Breakable_Wood_285	10702			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	986	Item_Background_Breakable_Wood_290	10705			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	987	Item_Background_Breakable_Wood_293	10706			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_295	background_breakable_wood_295	988	Item_Background_Breakable_Wood_295	10707			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	996	Item_Background_Breakable_Wood_297	10715			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_304	background_breakable_wood_304	1013	Item_Background_Breakable_Wood_304	10732			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	1012	Item_Background_Breakable_Wood_308	10731			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	1014	Item_Background_Breakable_Wood_309	10733			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_363	background_breakable_wood_363	1015	Item_Background_Breakable_Wood_363	10734			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1297	Cacao	11149			ItemIcon_prefab_Cacao_01	no
